Gephyrocapsa huxleyi HET,temperature,no3,o2,PAR
96109.0,1.2363834843055033,24.350541538232925,330.7186149241478,75.7801752735936
441.0,1.932691088946424,23.643662046042063,340.4401807877841,39.43018686836589
455.0,1.8211331889113735,22.84878181079106,341.2859918028873,38.62409590416434
455.0,1.7059086407640354,22.015758947401107,341.65325093832934,37.687671993599004
12796.0,1.6803153526417474,22.321348933903177,337.9824160076272,7.54564401816223
119403.0,2.0179730339212787,24.225500627324557,328.585677287895,76.44807281477597
2906.0,1.7941100529527898,22.279236416954877,361.66980306142887,31.7886424121572
710.0,-0.041687451124809996,24.844104931775135,352.7937079398945,15.746790718120263
61329.0,2.8016472842113775,24.716672630846844,333.4135654443832,44.00689276231768
288986.0,2.926831907369966,25.094306089102922,332.9998961488103,31.317222451441094
2982.0,2.6632401942775665,24.423760233916052,335.24726114576515,43.998769204706164
104083.0,2.3619286635363794,22.298626108097867,354.4304130165163,12.757075158625375
69592.0,3.224360661408564,23.02783913223855,326.6221593839189,14.487186758272205
216317.666666667,3.7117542092950058,24.069174481974326,325.48759257466793,46.82390810155555
236584.0,3.658531031080072,24.57858245646406,327.14380844943105,33.46303636950616
72340.0,1.5319387512781264,23.371256516052014,333.6655832005091,37.021617950285986
86970.0,4.054458774269526,18.36099222066401,313.47256318256564,78.28172589023762
312074.0,3.5100492754030514,21.806450841045205,338.946132154673,31.454866619802676
269940.0,3.35744368144184,22.033260498659576,341.52992246154645,11.568335918807234
272981.0,4.6277322514958215,22.73796683318153,318.38593273076754,47.79847216302456
70835.0,4.685911698520581,23.428831684945525,317.417390600237,34.57741987727982
48459.0,4.633198938940784,23.376326977485594,317.78592114492557,18.120544869974157
7312.0,2.323754394460345,24.116177272068168,328.5979572363909,41.04006981913213
102950.0,0.8415742310336788,20.355337637701084,346.4166101253872,16.203374555755797
143669.0,4.222138580666347,21.3902688728182,326.38138835874906,35.02770214381537
160748.0,4.110432356162329,21.650371731680938,329.30722786145003,14.021821464261519
119721.0,1.9021151425059273,24.328123881458332,332.77669341754773,15.31363170833177
232522.0,5.646157833088053,21.0362421854941,310.2911015771619,49.07041075305974
430167.0,5.672298397403311,21.740466328981608,309.4002267259829,35.72625207221283
49062.5,3.3501755585152266,23.82053406370327,323.97551237430076,43.647610021536956
138620.0,5.751123677305483,14.918851138273382,300.78049072005,85.02764864668954
